프로젝트,인텐트,인텐트 카테고리,No. (TE/TR),발화,TR/TE,담당자,비고,킴블린,데일,슬리,이사벨
BNK캐피탈,대출신청,,19/284,추가 대출을 신청합니다,TR,데일,,,,,
BNK캐피탈,대출신청,,19/284,대출은 어떻게 받아요,TR,데일,,,,,
BNK캐피탈,대출신청,,19/284,직장인 대출 모바일로 할 수 있어,TR,데일,,,,,
BNK캐피탈,대출입출금시간문의,,20/185,결제일에 돈 언제 나가,TE,데일,,제거,금융 도메인,제거,제거
BNK캐피탈,대출입출금시간문의,,20/185,출금 시간 언제인지 말해줘,TE,데일,,,,,
BNK캐피탈,대출입출금시간문의,,20/185,대출금 입금 시간 몇 시야,TR,데일,,,,,
BNK캐피탈,대출입출금시간문의,,20/185,대출 신청금액 언제 들어와,TR,데일,,,,,
BNK캐피탈,대출입출금시간문의,,20/185,자동이체로 출금되는 시간 언제야,TR,데일,,,,,
BNK캐피탈,대출입출금오류,,20/199,입금하는데 오류 생겼어,TE,데일,,제거,금융 도메인,제거,제거
BNK캐피탈,대출입출금오류,,20/199,대출금 입금할 때 오류가 났어,TE,데일,,,,,
BNK캐피탈,대출입출금오류,,20/199,계좌에 돈 있는데 왜 출금이 안되요 확인 해주세요,TR,데일,,,,,
BNK캐피탈,대출입출금오류,,20/199,납부금 잘못 넣은 거 처리되나,TR,데일,,,,,
BNK캐피탈,대출입출금오류,,20/199,어째 돈이 잘못 나간 거 같은데 빨리 확인해 줘 바,TR,데일,,,,,
BNK캐피탈,대출정보변경,,20/420,내 대출조건 바꿀 수 있을까,TE,데일,,제거,금융 도메인,제거,제거
BNK캐피탈,대출정보변경,,20/420,납입계좌 국민은행으로 변경할게,TE,데일,,,,,
BNK캐피탈,대출정보변경,,20/420,대출기간 정정 절차,TR,데일,,,,,
BNK캐피탈,대출정보변경,,20/420,납입 기간을 길게 바꾸고 싶소,TR,데일,,,,,
BNK캐피탈,대출정보변경,,20/420,새로운 주소 등록하는 법 보여줘,TR,데일,,,,,제거
BNK캐피탈,대출진행상황조회,,20/201,대출 진행 중인지 궁금함,TE,데일,,제거,금융 도메인,제거,
BNK캐피탈,대출진행상황조회,,20/201,대출 심사 절차 조회,TE,데일,,,,,
BNK캐피탈,대출진행상황조회,,20/201,대출 심사 상황 답변 주세요,TR,데일,,,,,
BNK캐피탈,대출진행상황조회,,20/201,대출 신청건 심사 진행 여부 확인,TR,데일,,,,,
BNK캐피탈,대출진행상황조회,,20/201,나 어제 대출 넣은거 있잖아 그거 어떻게 되어가냐,TR,데일,,,,,
BNK캐피탈,대출취소철회,,20/208,대출 철회 신청,TE,데일,,제거,금융 도메인,제거,제거
BNK캐피탈,대출취소철회,,20/208,대출받은 거 취소할래,TE,데일,,,,,
BNK캐피탈,대출취소철회,,20/208,지금 대출 진행중인 거 멈추게 하는 방법,TR,데일,,,,,
BNK캐피탈,대출취소철회,,20/208,대출 신청했는데 안 할거니 취소해주세요,TR,데일,,,,,
BNK캐피탈,대출취소철회,,20/208,대출 진행되는 건 중지를 요청드려요,TR,데일,,,,,
BNK캐피탈,대출한도조회,,20250,대출한도 조회를 하고 싶어요,TE,데일,,제거,금융 도메인,제거,제거
BNK캐피탈,대출한도조회,,20250,대출한도가 얼마만큼 나오려나,TE,데일,,,,,
BNK캐피탈,대출한도조회,,20250,내 신용등급에서는 대출 어느정도까지 되나요,TR,데일,,,,,
BNK캐피탈,대출한도조회,,20250,대출 가능한 금액을 문의합니다,TR,데일,,,,,
BNK캐피탈,대출한도조회,,20250,대출한도 금액 확인하고 싶어,TR,데일,,,,,
BNK캐피탈,상담사연결,,20/69,상담사 연결,TE,데일,,,,,
BNK캐피탈,상담사연결,,20/69,상담원 연결 부탁드립니다,TE,데일,,,,,
BNK캐피탈,상담사연결,,20/69,상담원과 일대일 연결,TR,데일,,,,,
BNK캐피탈,상담사연결,,20/69,상담원 따로 없나요,TR,데일,,,,,
BNK캐피탈,상담사연결,,20/69,고객센터 사람이랑 대화할래,TR,데일,,,,,
BNK캐피탈,앱설치문의,,14/188,애플리케이션 내려받기,TE,데일,,,,,
BNK캐피탈,앱설치문의,,14/188,스마트폰에 애플리케이션 깔기,TE,데일,,,,,
BNK캐피탈,앱설치문의,,14/188,앱 설치 요청하려면,TR,데일,,,,,
BNK캐피탈,앱설치문의,,14/188,앱 설치 방법이 뭔지,TR,데일,,,,,
BNK캐피탈,앱설치문의,,14/188,앱 다운로드 방법 궁금한걸,TR,데일,,,,,
BNK캐피탈,앱설치오류,,14/223,APP 실행해도 안 켜짐,TE,데일,,,,,
BNK캐피탈,앱설치오류,,14/223,어플도 넘어가질 않아요,TE,데일,,,,,
BNK캐피탈,앱설치오류,,14/223,앱 다운로드 받는데 화면이 계속 멈춰있네,TR,데일,,,,,
BNK캐피탈,앱설치오류,,14/223,안 깔리는데 APP 관리 좀 해라,TR,데일,,,,,
BNK캐피탈,앱설치오류,,14/223,설치된 걸로 나오는데 앱 없어용,TR,데일,,,,,
BNK캐피탈,운영시간문의,,12/163,영업시간 정해져 있어,TE,데일,,,,,
BNK캐피탈,운영시간문의,,12/163,카톡 몇 시까지 보낼 수 있어,TE,데일,,,,,
BNK캐피탈,운영시간문의,,12/163,영업지점 저녁에도 하나요,TR,데일,,,,,
BNK캐피탈,운영시간문의,,12/163,고객센터에서 상담사 연결 시간 문의,TR,데일,,,,,
BNK캐피탈,운영시간문의,,12/163,고객센터 점심시간에도 응대해,TR,데일,,,,,
BNK캐피탈,이메일열람문의,,20/143,이메일 열어줘,TE,데일,,,,,제거
BNK캐피탈,이메일열람문의,,20/143,이메일 암호가 틀렸데,TE,데일,,,,,
BNK캐피탈,이메일열람문의,,20/143,안 열리는 메일 불만,TR,데일,,,,,
BNK캐피탈,이메일열람문의,,20/143,이메일의 설정이 잘못된 건가요,TR,데일,,,,,
BNK캐피탈,이메일열람문의,,20/143,메일을 받았는데 확인이 안 됨,TR,데일,,,,,
BNK캐피탈,회원가입로그인오류,,20/206,로그인 선택 안 되는 거 조치해줘,TE,데일,,,,,
BNK캐피탈,회원가입로그인오류,,20/206,지문인증 먹통임,TE,데일,,,,,
BNK캐피탈,회원가입로그인오류,,20/206,회원가입 휴대폰 인증 후 진행 안되는데요,TR,데일,,,,,
BNK캐피탈,회원가입로그인오류,,20/206,회갑 정보 제대로 입력했는데 자꾸 오류 났다네,TR,데일,,,,,
BNK캐피탈,회원가입로그인오류,,20/206,로그인 상태 유지할 수 없나요,TR,데일,,,,,
코이카,경쟁률문의,,6/132,경쟁률 알려줘,TE,데일,, 제거,글로벌하진 않은듯,제거,제거
코이카,경쟁률문의,,6/132,경쟁률은 어디에 나와있어,TE,데일,,,,,
코이카,경쟁률문의,,6/132,지원자 몇 명이었는지 궁금해 작년에,TR,데일,,,,,
코이카,경쟁률문의,,6/132,지금까지의 경쟁률 공개는 따로 안 돼있는 건가,TR,데일,,,,,
코이카,경쟁률문의,,6/132,올해 지원자 몇 명이나 있는거야 작년보다 많어,TR,데일,,,,,
코이카,국내교육일정문의,,2/81,교육일정좀 알려줘,TE,데일,,제거,교육에 한함,제거,제거
코이카,국내교육일정문의,,2/81,프로그램 국내교육 일정 확인 어떻게 해,TE,데일,,,,,
코이카,국내교육일정문의,,2/81,교육 수료일 알아,TR,데일,,,,,
코이카,국내교육일정문의,,2/81,예정된 교육 날짜는,TR,데일,,,,,
코이카,국내교육일정문의,,2/81,교육 수료일 궁금해,TR,데일,,,,,
코이카,면접포기요청,,4/136,면접전형을 포기하고 싶습니다,TE,데일,,제거,채용 관련,제거,제거
코이카,면접포기요청,,4/136,면접 불참하면 어떻게 되는지,TE,데일,,,,,
코이카,면접포기요청,,4/136,면접일 참석을 못하여 다음 면접에 참석가능할까,TR,데일,,,,,
코이카,면접포기요청,,4/136,면접전형 포기해야 돼서 추후에 불이익이 따를까요,TR,데일,,,,,
코이카,면접포기요청,,4/136,면접 시 시차로 인해 시간 변경 안되면 포기해야는데 어떡하지,TR,데일,,,,,
코이카,연락처문의,,0/237,전화번호 어떻게 돼,TE,데일,,,,,
코이카,연락처문의,,0/237,대표 번호 뭐야,TE,데일,,,,,
코이카,연락처문의,,0/237,상담할 수 있는 번호,TR,데일,,,,,
코이카,연락처문의,,0/237,그 번호 뭐지,TR,데일,,,,,
코이카,연락처문의,,0/237,전화번호가 뭐였지,TR,데일,,,,,
코이카,합격자확인요청,,5/63,합격자 확인하고싶어,TE,데일,,제거,채용에 한함,제거,제거
코이카,합격자확인요청,,5/63,합격자 어디서 봐,TE,데일,,,,,
코이카,합격자확인요청,,5/63,붙었다는 결과 확인이 하고 싶어,TR,데일,,,,,
코이카,합격자확인요청,,5/63,붙고 말고 할것 없이 어떤 결과던 확인할 수 있는거지,TR,데일,,,,,
코이카,합격자확인요청,,5/63,전형별로 붙었는지 어떻게 알 수 있을까요,TR,데일,,,,,
교보생명,A-도움말,,43,도움말,TE,데일,,,,,
교보생명,A-도움말,,43,가이드,TE,데일,,,,,
교보생명,A-도움말,,43,사용법,TR,데일,,,,,
교보생명,A-도움말,,43,챗봇이용안내,TR,데일,,,,,
교보생명,A-도움말,,43,어떻게 사용해,TR,데일,,,,,
교보생명,D-정보변경방법,,13/47,전화번호가 바뀌었어요,TE,데일,,,,,
교보생명,D-정보변경방법,,13/47,주소를 바꾸고 싶어요,TE,데일,,,,,
교보생명,D-정보변경방법,,13/47,가입한 연락처는 어떻게 바꾸나요,TR,데일,,,,,
교보생명,D-정보변경방법,,13/47,가입한 이메일정보 변경은 어떻게 하나요,TR,데일,,,,,
교보생명,D-정보변경방법,,13/47,개인정보 변경하려면 어떻게 해,TR,데일,,,,,
교보생명,A-상담원과 대화,,TR: 34 / PT: 28,상담하고싶어,TE,데일,,,,,
교보생명,A-상담원과 대화,,TR: 34 / PT: 28,콜센터,TE,데일,,,,,
교보생명,A-상담원과 대화,,TR: 34 / PT: 28,콜센터 연결바람,TR,데일,,,,,
교보생명,A-상담원과 대화,,TR: 34 / PT: 28,카톡으로 사람한테 물어볼 수도 있어,TR,데일,,,,,
교보생명,A-상담원과 대화,,TR: 34 / PT: 28,저녁인데 어떻게 상담할 수 있니,TR,데일,,,,,
교보생명,A-알림서비스,,TR: 44 / PT: 17,너 차단,TE,데일,,,,,
교보생명,A-알림서비스,,TR: 44 / PT: 17,일반 우편만 받고 싶어요,TE,데일,,,,,
교보생명,A-알림서비스,,TR: 44 / PT: 17,알림서비스 받고 싶어요,TR,데일,,,,,
교보생명,A-알림서비스,,TR: 44 / PT: 17,문자수신,TR,데일,,,,,
교보생명,A-알림서비스,,TR: 44 / PT: 17,수신신청,TR,데일,,,,,
교보생명,A-처음으로,,TR: 1 / PT: 27,맨 처음으로,TE,데일,,,,,
교보생명,A-처음으로,,TR: 1 / PT: 27,menu,TE,데일,,,,,
교보생명,A-처음으로,,TR: 1 / PT: 27,젤 첨으로,TR,데일,,,,,
교보생명,A-처음으로,,TR: 1 / PT: 27,다시 대화하기,TR,데일,,,,,
교보생명,A-처음으로,,TR: 1 / PT: 27,처음으로 이동,TR,데일,,,,,
교보생명,A-탈출,,PT:14,그만,TE,데일,,보류 - 스몰톡류?,,,
교보생명,A-탈출,,PT:14,됐어,TE,데일,,,,,
교보생명,A-탈출,,PT:14,그만 물어봐,TR,데일,,,,,
교보생명,A-탈출,,PT:14,종료,TR,데일,,,,,
교보생명,A-탈출,,PT:14,대화그만,TR,데일,,,,,
